topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Major scales,Ascending Major Scales,"Mozart, Twelve Variations on ""Ah, vous dirai-je Maman"" in C Major, K. 265, Variation 7, mm. 1-8 (""Twinkle"" Variations)",Mozart,"Twelve Variations on ""Ah, vous dirai-je Maman"" in C Major, K. 265, Variation 7",mm. 1-8,,,"Ah, vous dirai-je Maman",K. 265,,,,/musictheoryexamples/examples//ScD.mp3,/musictheoryexamples/examples//ScD.pdf
Scales,Major scales,Ascending Major Scales,"J. S. Bach, Chorale no. 325 (""Mit Fried' und Freud' ich fahr' dahin""), mm. 1-8",J. S. Bach,"Chorale no. 325 (""Mit Fried' und Freud' ich fahr' dahin"")",mm. 1-8,,,Mit Fried' und Freud' ich fahr' dahin,,,,,/musictheoryexamples/examples//ScB1.mp3,/musictheoryexamples/examples//ScB1.pdf
Scales,Major scales,Ascending Major Scales,"Beethoven, Piano Sonata in C Major, op. 53, mvt. 3, mm. 168-176",Beethoven,"Piano Sonata in C Major, op. 53, mvt. 3",mm. 168-176,,,,op. 53,mvt. 3,,,/musictheoryexamples/examples//ScC1.mp3,/musictheoryexamples/examples//ScC1.pdf
Scales,Major scales,Ascending Major Scales,"Sibelius, Symphony no. 7, op. 105, mvt. 1, mm. 1-3",Sibelius,"Symphony no. 7, op. 105, mvt. 1",mm. 1-3,,,,op. 105,mvt. 1,,,/musictheoryexamples/examples//ScI.mp3,/musictheoryexamples/examples//ScI.pdf
Scales,Major scales,Ascending Major Scales,"Beethoven, Symphony no. 1 in C Major, op. 21, mvt. 4, mm. 1-8",Beethoven,"Symphony no. 1 in C Major, op. 21, mvt. 4",mm. 1-8,,,,op. 21,mvt. 4,,,/musictheoryexamples/examples//ScH.mp3,/musictheoryexamples/examples//ScH.pdf
Scales,Major scales,Ascending Major Scales,"J.S. Bach, Keyboard Partita no. 4 in D Major, BWV 828, Ouverture, mm. 1-5",J.S. Bach,"Keyboard Partita no. 4 in D Major, BWV 828, Ouverture",mm. 1-5,,,,BWV 828,,,,/musictheoryexamples/examples//ScA.mp3,/musictheoryexamples/examples//ScA.pdf
Scales,Major scales,Ascending Major Scales,"Beethoven, Cello Sonata no. 5 in D Major, op. 102 no. 2, mvt. 3, mm. 218-228",Beethoven,"Cello Sonata no. 5 in D Major, op. 102 no. 2, mvt. 3",mm. 218-228,,,,op. 102,mvt. 3,,,/musictheoryexamples/examples//ScD1.mp3,/musictheoryexamples/examples//ScD1.pdf
Scales,Major scales,Ascending Major Scales,"Beethoven, Violin Concerto in D Major, op. 61, mvt. 1, mm. 18-23",Beethoven,"Violin Concerto in D Major, op. 61, mvt. 1",mm. 18-23,,,,op. 61,mvt. 1,,,/musictheoryexamples/examples//ScE1.mp3,/musictheoryexamples/examples//ScE1.pdf
Scales,Major scales,Ascending Major Scales,"Shostakovich, Prelude, op. 34 no. 5, mm. 1-4",Shostakovich,"Prelude, op. 34 no. 5",mm. 1-4,,,,op. 34,,,,/musictheoryexamples/examples//ScF1.mp3,/musictheoryexamples/examples//ScF1.pdf
Scales,Major scales,Ascending Major Scales,"Bruch, Scottish Fantasy, op. 46, mvt. 1, mm. 111-120",Bruch,"Scottish Fantasy, op. 46, mvt. 1",mm. 111-120,,,,op. 46,mvt. 1,,,/musictheoryexamples/examples//ScG1.mp3,/musictheoryexamples/examples//ScG1.pdf
Scales,Major scales,Ascending Major Scales,"Brahms, ""Maria's Lob"", op. 22 no. 7, mm. 1-9",Brahms,"""Maria's Lob"", op. 22 no. 7",mm. 1-9,,,Maria's Lob,op. 22,,,,/musictheoryexamples/examples//ScH1.mp3,/musictheoryexamples/examples//ScH1.pdf
Scales,Major scales,Ascending Major Scales,"Wolf, ""Elfenlied"", mm. 1-4",Wolf,"""Elfenlied""",mm. 1-4,,,Elfenlied,,,,,/musictheoryexamples/examples//ScI1.mp3,/musictheoryexamples/examples//ScI1.pdf
Scales,Major scales,Ascending Major Scales,"J.S. Bach, Invention no. 6 in E Major, BWV 777, mm. 1-8",J.S. Bach,"Invention no. 6 in E Major, BWV 777",mm. 1-8,,,,BWV 777,,,,/musictheoryexamples/examples//ScB.mp3,/musictheoryexamples/examples//ScB.pdf
Scales,Major scales,Ascending Major Scales,"J. S. Bach, Chorale no. 274 (""O Ewigkeit, du Donnerwort""), mm. 1-8",J. S. Bach,"Chorale no. 274 (""O Ewigkeit, du Donnerwort"")",mm. 1-8,,,"O Ewigkeit, du Donnerwort",,,,,/musictheoryexamples/examples//ScK1.mp3,/musictheoryexamples/examples//ScK1.pdf
